Collection_Num,BirdID,Sex,AgeY,AgeClass,BirthFPID,U_PlateID,RTL,Technician,Terr,FPID,mum,dad,MAC,PAC,BrF,BrM
2331,5149,1,0.016438356,CH,82,6_26,0.88,1,41.1,82,1757,3617,5.895890411,1.901369863,1757,1523
2332,5123,0,4.18630137,A,82,7_26,0.54,1,46,105,1042,1577,10.9260274,7.17260274,1042,1577
2333,5123,0,5.01369863,A,82,7_31,0.96,1,46,116,1042,1577,10.9260274,7.17260274,1042,1577
2334,5123,0,2.106849315,A,82,7_35,0.47,1,46,92,1042,1577,10.9260274,7.17260274,1042,1577
2335,5123,0,0.594520548,J,82,3_84,0.94,2,46,85,1042,1577,10.9260274,7.17260274,1042,1577
2336,5123,0,0.164383562,FL,82,3_15,0.71,2,46,82,1042,1577,10.9260274,7.17260274,1042,1577
2337,5167,1,4.142465753,A,82,7_32,0.7,1,133,110,1605,497,6.912328767,14.24931507,1605,497
2338,5167,1,1.764383562,A,82,7_36,0.3,1,133,92,1605,497,6.912328767,14.24931507,1605,497
2339,5167,1,0.246575342,J,82,3_91,0.73,2,9,85,1605,497,6.912328767,14.24931507,1605,497
2340,5167,1,1.290410959,A,82,3_73,0.56,2,133,90,1605,497,6.912328767,14.24931507,1605,497
2341,5137,0,0.024657534,CH,82,7_45,0.75,1,52.1,82,1776,2991,4.764383562,3.687671233,1776,1710
2342,5137,0,0.931506849,SA,82,3_84,0.68,2,52.1,87,1776,2991,4.764383562,3.687671233,1776,1710
2343,5146,1,0.016438356,CH,82,7_24,1.22,1,56,82,3567,1604,2.64109589,6.77260274,3567,1604
2344,5150,0,0.016438356,CH,82,7_25,1.04,1,57.1,82,1491,1604,8.049315068,6.778082192,1491,1823
2345,5136,0,0.016438356,CH,82,6_26,1.35,1,58,82,2963,1533,3.531506849,7.939726027,2978,3089
2346,5135,0,0.016438356,CH,82,6_35,0.93,1,58,82,2963,1533,3.531506849,7.939726027,2978,3089
2347,5127,0,0.021917808,CH,82,7_24,1.55,1,6,82,1826,1499,3.978082192,7.97260274,1826,1499
2348,5157,0,0.063013699,CH,82,6_26,1.23,1,64,82,1170,1877,10.26849315,3.865753425,1170,4872
2349,5152,0,0.024657534,CH,82,7_29,1.26,1,66,82,1438,1708,8.117808219,5.646575342,1438,1708
2350,5151,1,0.024657534,CH,82,6_26,0.67,1,66,82,1438,1708,8.117808219,5.646575342,1438,1708
2351,5130,0,0.016438356,CH,82,6_25,0.83,1,73,82,3090,3458,3.249315068,2.465753425,3090,3458
2352,5119,0,0.010958904,CH,82,6_19,1.29,1,76,82,1580,1512,7.142465753,7.983561644,1580,3643
2353,5119,0,2.010958904,A,82,6_23,0.48,1,30.1,92,1580,1512,7.142465753,7.983561644,1580,3643
2354,5160,0,1.747945205,A,82,3_73,1.17,2,1,92,1790,1731,4.854794521,5.180821918,1790,1731
2355,5160,0,0.832876712,SA,82,3_73,0.94,2,78,87,1790,1731,4.854794521,5.180821918,1790,1731
2356,5160,0,1.22739726,SA,82,7_29,1.74,1,1,90,1790,1731,4.854794521,5.180821918,1790,1731
2357,5160,0,0.246575342,J,82,7_29,0.58,1,78,85,1790,1731,4.854794521,5.180821918,1790,1731
2358,5121,1,1.509589041,A,82,3_84,1.06,2,104,90,3698,1489,2.64109589,8,3698,1489
2359,5121,1,0.019178082,CH,82,7_24,1.4,1,82.1,82,3698,1489,2.64109589,8,3698,1489
2360,5156,0,0.021917808,CH,82,6_26,1.03,1,85,82,1401,1788,9.947945205,4.764383562,1401,1788
2361,5164,0,0.246575342,J,82,3_73,1.15,2,47.1,85,1401,1877,10.06575342,4.021917808,1401,1788
2362,5164,0,4.301369863,A,82,9_32,1.16,1,18,112,1401,1877,10.06575342,4.021917808,1401,1788
2363,5164,0,0.761643836,SA,82,3_73,0.65,2,-2,87,1401,1877,10.06575342,4.021917808,1401,1788
2364,5171,0,0.246575342,J,82,8_11,0.59,1,87,85,1678,1412,5.219178082,9.301369863,1678,1412
2365,5168,0,0.723287671,SA,82,4_36,0.85,2,-2,87,3500,2988,2.542465753,3.578082192,3500,2988
2366,5168,0,0.246575342,J,82,3_73,0.96,2,9,85,3500,2988,2.542465753,3.578082192,3500,2988
2367,5117,0,0.002739726,CH,82,6_19,0.83,1,92.1,82,3002,1581,3.646575342,7.301369863,3002,1581
2368,5148,1,0.019178082,CH,82,6_26,0.91,1,94.1,82,1172,1171,11.09589041,11.09589041,1172,1171
2369,5153,1,0.016438356,CH,82,7_26,0.89,1,96,82,0,0,0,0,3507,1587
2370,5154,0,0.016438356,CH,82,6_26,0.82,1,96,82,3507,4953,3.043835616,0.832876712,3507,1587
2371,5220,1,0.901369863,SA,85,3_85,0.75,2,75,90,3517,1579,2.591780822,7.764383562,3517,1593
2372,5220,1,2.287671233,A,85,7_37,1.22,1,26.5,104,3517,1579,2.591780822,7.764383562,3517,1593
